window size,Add LSTM Layer.neurons,Add LSTM Layer.gate_activation,Deep Learning (Tensor).updater,Deep Learning (Tensor).learning_rate,Deep Learning (Tensor).use_regularization,rmse,absolute error (mae),relative error (mape),correlation
1,21,TanH,Adam,0.003,FALSE,33.33571763,25.45142441,0.156254989,0.81847575
1,8,TanH,Adam,0.1,TRUE,33.7033169,27.67022571,0.149088608,0.797189212
1,8,TanH,RMSProp,0.003,FALSE,34.12539594,26.52558002,0.142769712,0.889207605
2,64,Sigmoid,Adam,0.001,FALSE,34.34044884,28.77146425,0.15940619,0.790568338
1,21,TanH,Adam,0.03,FALSE,34.40952515,28.26586008,0.152231561,0.834155178
1,8,TanH,RMSProp,0.01,TRUE,34.76834141,29.57557281,0.168191743,0.829314765
1,64,ReLU (Rectified Linear Unit),Adam,0.001,TRUE,35.19855831,31.16521626,0.179436756,0.792528297
3,8,Sigmoid,Adam,0.003,TRUE,35.3743036,28.76671715,0.15893566,0.818655609
1,8,TanH,RMSProp,0.003,TRUE,35.54636558,27.36406076,0.155970815,0.782899336
1,8,Sigmoid,Adam,0.003,TRUE,35.55203335,29.81864931,0.160925093,0.81353649
1,21,TanH,Adam,0.01,TRUE,36.13387631,29.04130664,0.148752479,0.916751414
1,8,ReLU (Rectified Linear Unit),Adam,0.01,TRUE,36.1641449,28.45878182,0.157776508,0.914341756
3,8,Sigmoid,Adam,0.1,FALSE,36.26791831,27.97087375,0.142061203,0.849327985
3,64,Sigmoid,Adam,0.1,FALSE,36.46083716,29.49865137,0.14655653,0.865532017
3,8,Sigmoid,Adam,0.03,TRUE,36.52196429,29.69521913,0.148424249,0.926442409
1,64,Sigmoid,Adam,0.001,TRUE,36.54926896,30.36966928,0.151861738,0.886404026
1,64,TanH,Adam,0.01,FALSE,37.12501366,28.66717512,0.14747222,0.806184052
1,8,TanH,RMSProp,0.03,TRUE,37.3680924,30.33573525,0.172026236,0.678548688
1,21,TanH,Adam,0.003,TRUE,37.59289093,27.68722146,0.176725782,0.68026457
1,8,TanH,Adam,0.01,TRUE,37.86253614,28.12676748,0.185591863,0.774980005
1,64,TanH,RMSProp,0.01,FALSE,38.05890094,30.79441201,0.1536354,0.86220612
1,8,TanH,RMSProp,0.01,FALSE,38.19933768,32.26886631,0.185883165,0.818881928
1,21,Sigmoid,Adam,0.001,TRUE,38.22746599,33.30871761,0.176107248,0.797215983
1,8,TanH,Adam,0.001,TRUE,38.5219462,31.00780738,0.177685083,0.784899101
3,8,Sigmoid,RMSProp,0.03,FALSE,38.66419788,30.7437091,0.161653508,0.835035624
3,64,Sigmoid,RMSProp,0.03,FALSE,38.68755149,29.67457903,0.141940988,0.897512862
1,21,Sigmoid,RMSProp,0.001,TRUE,38.85709822,33.31540743,0.17668949,0.773720395
3,21,Sigmoid,Adam,0.1,FALSE,38.93304037,31.13681234,0.160516092,0.800470557
3,21,Sigmoid,Adam,0.001,TRUE,39.1339843,32.66319079,0.168342791,0.868205506
1,64,TanH,Adam,0.001,TRUE,39.30513427,29.60462482,0.176844724,0.63112938
1,21,TanH,Adam,0.03,TRUE,39.32363778,31.65099436,0.182591453,0.670095159
2,8,Sigmoid,RMSProp,0.001,TRUE,39.50781494,33.84929052,0.174632477,0.816715527
1,64,TanH,RMSProp,0.003,TRUE,39.54379993,30.82021811,0.173230514,0.651183567
1,64,TanH,Adam,0.03,TRUE,39.54788779,31.37903555,0.158379827,0.871793007
1,21,ReLU (Rectified Linear Unit),Adam,0.01,TRUE,39.84731191,33.57814021,0.208079052,0.682230325
1,21,TanH,Adam,0.1,TRUE,40.31704619,32.9177239,0.175056425,0.714787262
1,8,TanH,Adam,0.01,FALSE,40.52181038,34.81365288,0.196004237,0.7080447
1,64,TanH,Adam,0.003,FALSE,40.62468107,32.52829579,0.178546593,0.68834801
1,21,TanH,RMSProp,0.01,TRUE,40.63299321,32.00166317,0.167604272,0.749420236
1,64,TanH,RMSProp,0.003,FALSE,41.3178671,33.53634317,0.178180535,0.741060249
1,21,TanH,RMSProp,0.003,TRUE,41.33751457,35.22460994,0.203792886,0.6496988
3,8,Sigmoid,RMSProp,0.001,FALSE,41.51931422,35.2310761,0.179932529,0.784664639
3,8,Sigmoid,Adam,0.001,FALSE,41.94425947,35.63362201,0.182683989,0.800846138
1,64,Sigmoid,Adam,0.001,FALSE,43.23675406,36.23910704,0.17915759,0.845144487
1,21,ReLU (Rectified Linear Unit),Adam,0.001,TRUE,43.28049849,36.8822982,0.225190531,0.592921602
3,8,Sigmoid,RMSProp,0.001,TRUE,43.29439178,35.62218194,0.172887087,0.859969967
1,21,TanH,RMSProp,0.01,FALSE,43.44895293,35.47517087,0.192069165,0.6687417
1,8,Sigmoid,Adam,0.001,TRUE,43.84623231,36.56119683,0.188566612,0.796165157
1,8,Sigmoid,RMSProp,0.001,FALSE,44.25455221,36.52417053,0.180286649,0.884662669
3,8,Sigmoid,Adam,0.001,TRUE,44.85940135,38.25321422,0.203676451,0.60650807
1,64,TanH,Adam,0.001,FALSE,44.90901367,36.54745077,0.199508257,0.495853597
1,8,TanH,Adam,0.003,FALSE,44.92567259,38.26056898,0.216018498,0.477775504
1,64,TanH,Adam,0.1,TRUE,45.37710741,36.4696538,0.181530944,0.560557148
2,21,Sigmoid,Adam,0.001,FALSE,45.57291151,38.00512693,0.187350915,0.82632532
1,8,Sigmoid,Adam,0.001,FALSE,45.71822288,39.1933087,0.215444077,0.600487603
1,21,TanH,RMSProp,0.003,FALSE,45.92862498,38.67353765,0.213277872,0.466859434
1,8,Sigmoid,RMSProp,0.001,TRUE,45.99637009,37.78675334,0.186910104,0.825506606
1,64,TanH,RMSProp,0.001,TRUE,46.73296865,39.28131003,0.209740353,0.578406674
2,21,Sigmoid,Adam,0.001,TRUE,47.05486719,41.23226931,0.215070843,0.603936114
2,8,Sigmoid,Adam,0.001,TRUE,47.24111089,39.23008969,0.193477478,0.758217313
3,21,Sigmoid,Adam,0.001,FALSE,47.62788557,39.99925946,0.195407023,0.817793204
1,64,TanH,RMSProp,0.001,FALSE,48.41352538,39.49735298,0.214634769,0.2922323
1,8,TanH,Adam,0.001,FALSE,48.49586842,40.72663224,0.210375533,0.561916728
1,8,ReLU (Rectified Linear Unit),RMSProp,0.001,TRUE,49.4791844,40.11312965,0.224644393,0.275102923
1,21,TanH,Adam,0.001,TRUE,49.57580503,40.75932729,0.201869154,0.755177022
1,21,Sigmoid,Adam,0.001,FALSE,50.99748712,42.79979417,0.208244752,0.776454066
1,21,TanH,Adam,0.001,FALSE,51.07371746,39.53349884,0.185552761,0.757155408
2,8,Sigmoid,Adam,0.001,FALSE,52.17337013,43.67678489,0.216701309,0.597298423
1,8,ReLU (Rectified Linear Unit),Adam,0.01,FALSE,52.36811567,45.73940035,0.231235638,0.643576403
1,21,ReLU (Rectified Linear Unit),RMSProp,0.01,TRUE,52.98993719,44.65566896,0.234637497,0.025832071
1,64,TanH,Adam,0.03,FALSE,53.02011243,42.41459536,0.209574581,0.439399964
1,8,TanH,RMSProp,0.001,FALSE,53.43788068,44.29514781,0.227988511,0.145335692
1,8,TanH,RMSProp,0.001,TRUE,54.66713794,47.94754122,0.252726567,0.316900574
1,8,ReLU (Rectified Linear Unit),Adam,0.1,TRUE,54.75673006,29.20690627,0.18726079,0.727492991
1,8,ReLU (Rectified Linear Unit),Adam,0.003,FALSE,54.87148191,42.84084673,0.203755449,0.412765461
1,8,ReLU (Rectified Linear Unit),RMSProp,0.003,TRUE,55.00154681,42.97050604,0.251744756,0.656609029
1,21,TanH,Adam,0.01,FALSE,55.01402554,50.78794749,0.306203457,0.904910087
1,21,TanH,RMSProp,0.001,TRUE,57.51366166,46.85282567,0.236194289,0
1,21,ReLU (Rectified Linear Unit),Adam,0.001,FALSE,60.30115583,48.48525814,0.2354352,0.142412854
1,64,ReLU (Rectified Linear Unit),RMSProp,0.001,FALSE,64.39467481,45.15431803,0.294610193,0.143512093
1,8,ReLU (Rectified Linear Unit),RMSProp,0.01,FALSE,74.21988575,59.72625928,0.295963983,0.345324783
1,21,ReLU (Rectified Linear Unit),RMSProp,0.001,FALSE,76.16669191,57.46757294,0.354413847,0
1,8,TanH,Adam,0.003,TRUE,78.67781624,63.48043563,0.297543421,0
1,8,ReLU (Rectified Linear Unit),Adam,0.03,FALSE,114.066633,88.35500325,0.427514135,0
