,TxGrowth,AddressCount,BlockTime,AvgGasPrice,NetworkHash,TransactionFee,BlockReward,count,likes_avg,retweets_avg,sentiment_avg,PriceChange
2019-07-18,0.4942638857270824,0.7710991489740595,0.0051664753157290395,0.006301768388108478,0.607491276270893,0.06365499454818603,0.12954214251016774,294.0,88.64965986394556,82.6360544217687,0.2147040816326531,1
2019-07-19,0.6037687579575562,0.7718421842788465,0.022962112514351242,0.010756826775384042,0.5867747074818369,0.10118986863624681,0.1211388812161274,202.0,149.22772277227722,158.85148514851485,0.23360594059405945,0
2019-07-20,0.43213173152716117,0.7728771613968631,0.007462686567164123,0.00484774609253674,0.6009108198443075,0.04820945919939196,0.12960405375801273,168.0,80.67261904761905,199.1190476190476,0.2488619047619048,1
2019-07-21,0.38640224654279637,0.773942167751305,0.018369690011481074,0.005533824533125116,0.5853699176204689,0.04575916767601222,0.12122698568421454,179.0,75.56983240223464,220.48044692737432,0.2406625698324022,0
2019-07-22,0.4740883059794848,0.775005176522953,0.010332950631458079,0.005172484425919271,0.5837513277939546,0.05347019728695153,0.12815152063549515,203.0,55.40886699507389,32.41871921182266,0.1936487684729064,0
2019-07-23,0.4489719041259535,0.7760960204646791,0.008036739380022894,0.006575598865866906,0.5928774349623067,0.058322162145990036,0.12803007934164531,215.0,52.013953488372096,26.469767441860466,0.2451958139534884,0
2019-07-24,0.6717412115580979,0.7769286741013642,0.012055109070034391,0.012328806901148733,0.5977251403264507,0.12476397774261913,0.12797769290116107,331.0,56.577039274924466,22.682779456193355,0.15201329305135955,1
2019-07-25,0.7033682569791059,0.777767265907666,0.023536165327210114,0.011382464526967256,0.5924778128304942,0.12314548926125982,0.12405823467220375,354.0,79.52542372881356,141.45197740112994,0.17228418079096042,1
2019-07-26,0.47378724432932584,0.7788717872878655,0.015499425947187118,0.005918592770039885,0.5892250620484156,0.060670343819112356,0.12823962510358228,170.0,342.40588235294115,67.00588235294117,0.2508423529411765,0
2019-07-27,0.4273948304896849,0.7798578072538038,0.011481056257175621,0.004963298506169432,0.6060754603247647,0.0562680178394185,0.12863966701273466,112.0,66.91964285714286,113.20535714285714,0.1512357142857143,1
